,3nn,GaussianNb,SelectNoSentences,linearsvc__c=0.01,linearsvc__c=0.1,linearsvc__c=1,linearsvc__c=10,linearsvc__c=100,logistic__c=0.01,logistic__c=0.1,logistic__c=1,logistic__c=10,logistic__c=100,tree
accuracy,0.850211053059649,0.6693744227402434,0.8520380198784135,0.8523702457920349,0.8658207082891055,0.8827596807322756,0.8663190471595374,0.852371762175873,0.8507092540770047,0.8512074550943604,0.8663189093064613,0.8820956424642616,0.87528666547194,0.8299520271294852
roc_auc,0.5525136364214192,0.6060544715010023,0.5,0.7825076653085951,0.8559542752653876,0.857031986738128,0.8218746963916999,0.7903228407714245,0.663660696208097,0.7566669270149255,0.8472323130663664,0.859815204878424,0.839117491242319,0.626639815498802
time,921.066,14.604,3.86,5.047,6.783,6.251,5.86,5.828,4.761,4.753,4.797,4.876,4.968,114.901
