,3nn,GaussianNb,SelectNoSentences,linearsvc__c=0.1,linearsvc__c=1,linearsvc__c=10,linearsvc__c=100,logistic__c=0.1,logistic__c=1,logistic__c=10,logistic__c=100,tree
accuracy,0.8522041328352241,0.762528776829655,0.8520380198784135,0.8654886202285603,0.8837559449139107,0.8714678595552859,0.8551949931762728,0.8512074550943604,0.866485160116348,0.8825942570408458,0.8771139079968571,0.8229801078011055
accuracy_std,0.011560152421377324,0.0420096742556475,0.01177833474345246,0.011460465789225304,0.010167042952409102,0.009429999096798458,0.010386839791606694,0.012116331204647054,0.010945880170278748,0.008722653713001821,0.009168397891420018,0.01051957434105959
roc_auc,0.5399224248673259,0.653120864321252,0.5,0.8590656985834982,0.8626811448560181,0.8293163171737957,0.7976820395109263,0.7571135154027434,0.8498670285199014,0.8655464763936065,0.8451949183626078,0.6201774002214847
roc_auc_std,0.011036296069440411,0.02960104337115882,0.0,0.015732545697387416,0.011246183637274183,0.01400816964332955,0.014496918596905235,0.0173327663071765,0.01599797386507577,0.011095523313403502,0.012566163785035908,0.017723301600039244
time,695.444,11.565,3.095,5.657,5.26,4.799,4.797,3.839,3.846,3.908,4.063,86.679
