,3nn,GaussianNb,SelectNoSentences,linearsvc__c=0.1,linearsvc__c=1,linearsvc__c=10,linearsvc__c=100,logistic__c=0.1,logistic__c=1,logistic__c=10,logistic__c=100,tree
accuracy,0.8518720447746793,0.8855829117326752,0.8520380198784135,0.8639937414703409,0.8835892805447954,0.8869098854440937,0.8845848554610496,0.8512074550943604,0.86665085951393,0.8859138969686109,0.8890692160295556,0.8359282336885349
accuracy_std,0.011803361590535652,0.011361058823666977,0.01177833474345246,0.012394247893275694,0.012335815809642015,0.015491034285124385,0.015148245344230276,0.012013411903488138,0.012100933352715853,0.012237716328416704,0.013085464029910756,0.019559070306497298
roc_auc,0.5428803953557092,0.6656691313336933,0.5,0.8427580382091362,0.8675883450611132,0.8605085760479254,0.8268223673892775,0.7428736320116202,0.8312497750693708,0.8647710116982742,0.8631651428815805,0.6330291419783451
roc_auc_std,0.013599235471442418,0.022003051638060694,0.0,0.01954440506502138,0.014437334113100362,0.016588563043280016,0.0183586225504667,0.017558859092426004,0.01979764873144367,0.014324212570552141,0.015705661624908166,0.022004480414463148
time,117.899,3.11,0.592,2.46,2.371,2.273,2.529,1.074,0.992,0.939,1.036,12.449
