,3nn,GaussianNb,SelectNoSentences,linearsvc__c=0.1,linearsvc__c=1,linearsvc__c=10,linearsvc__c=100,logistic__c=0.1,logistic__c=1,logistic__c=10,logistic__c=100,tree
accuracy,0.8497135413076743,0.8749549909706236,0.8520380198784135,0.8628315021849712,0.8756183399732566,0.8796039481121021,0.8767805792586261,0.8508753670338154,0.8636616534097958,0.8757836258116098,0.8799361740257234,0.8121867633476241
accuracy_std,0.010970300976818316,0.01130903359218686,0.01177833474345246,0.012236476801614011,0.011780050135600613,0.011981207971834242,0.014262374673666532,0.011992610156556208,0.012799348983815375,0.013943841543292366,0.01150555298493469,0.010991822366892957
roc_auc,0.6107148497912025,0.8102679060058131,0.5,0.79944889795368,0.8165907268359369,0.820062740834649,0.8124197486754419,0.727317350014028,0.7894710455625578,0.8123613584561026,0.8182536050451474,0.6262951748645453
roc_auc_std,0.010147062962906008,0.012369130565919907,0.0,0.020484613016007736,0.01589309750443445,0.014960907059872372,0.015605594100109602,0.016600542983589508,0.019908988074858993,0.015042046589757134,0.013981953006073659,0.015200252664097098
time,7.463,0.309,0.082,2.1,1.722,1.714,1.821,0.207,0.211,0.288,0.334,0.717
