,3nn,GaussianNb,SelectNoSentences,linearsvc__c=0.1,linearsvc__c=1,linearsvc__c=10,linearsvc__c=100,logistic__c=0.1,logistic__c=1,logistic__c=10,logistic__c=100,tree
accuracy,0.8513739816103996,0.8601759005252202,0.8520380198784135,0.8649900056519761,0.8820946774927283,0.880766463103624,0.8654898609062462,0.8513735680511709,0.8668175238830456,0.8849187356115852,0.8812650776802083,0.8369253249886273
accuracy_std,0.011712832656934865,0.009978108445049266,0.01177833474345246,0.012551691215001704,0.012342888410345417,0.01386229967517104,0.00977016939033532,0.01191592932513297,0.010349871569154649,0.009571221630632992,0.013334507367052268,0.017019637967580797
roc_auc,0.5273005807047532,0.6313651693356533,0.5,0.8590137072373821,0.8707502081124037,0.8420592758735642,0.792709270341448,0.7535276251218791,0.8493042747006132,0.8733693095470138,0.8525078338748855,0.6332851271084247
roc_auc_std,0.007488799851259642,0.024051452089142947,0.0,0.01729463836261858,0.013647230734780613,0.01814963704607237,0.017136308328110104,0.017943642088527022,0.018064982252399536,0.01323441790585016,0.01451229436723952,0.02317536571388569
time,260.331,5.67,1.423,4.323,3.063,2.719,2.764,2.551,1.845,1.892,1.97,30.059
