,3nn,GaussianNb,SelectNoSentences,linearsvc__c=0.1,linearsvc__c=1,linearsvc__c=10,linearsvc__c=100,logistic__c=0.1,logistic__c=1,logistic__c=10,logistic__c=100,tree
accuracy,0.8442338815290663,0.8653258157455783,0.8520380198784135,0.8624995519775023,0.870968831419473,0.8746222136446974,0.873957761817455,0.8507092540770047,0.862831364331895,0.8734588715347182,0.8756182021201802,0.8118534346093934
accuracy_std,0.012701603648933111,0.01004448044112478,0.01177833474345246,0.011683690858146889,0.0113656355166263,0.012039853000056555,0.01302576444812819,0.012196279285188611,0.012767396585487178,0.013853913392046203,0.01246366313819382,0.009847565951958218
roc_auc,0.6331034686059581,0.7857220799306142,0.5,0.788610776795804,0.7974996475018393,0.7982221477058701,0.7792494197310023,0.7239695555826303,0.7796126633543745,0.7945994811976677,0.795995766227189,0.6218734577191696
roc_auc_std,0.018254471353942692,0.013759083609440611,0.0,0.021291617507647534,0.01885799962653644,0.01908011469574572,0.027903853739347968,0.016807790297845994,0.019830634688647177,0.017173475395163944,0.016738084864550622,0.017732643969601475
time,3.705,0.181,0.055,1.752,2.035,1.894,2.041,0.135,0.158,0.185,0.279,0.418
