,3nn,GaussianNb,SelectNoSentences,linearsvc__c=0.1,linearsvc__c=1,linearsvc__c=10,linearsvc__c=100,logistic__c=0.1,logistic__c=1,logistic__c=10,logistic__c=100,tree
accuracy,0.851041479990626,0.8400824361395625,0.8520380198784135,0.8658207082891055,0.8824271791125019,0.8711361850539696,0.8555270812368179,0.8512074550943604,0.8658211218483342,0.88192884024207,0.8789405991094691,0.8321103927434141
accuracy_std,0.012026454977730833,0.013503155569150724,0.01177833474345246,0.011455818518123214,0.011185307232084557,0.008237950956989237,0.007346711356190661,0.012116331204647054,0.010509539657486196,0.011331872051804564,0.008867235416337637,0.013729102156271813
roc_auc,0.536987177562749,0.6166290474999332,0.5,0.8612314969376765,0.8658385734451711,0.8319289926733108,0.7908104421793902,0.7572345237113649,0.851892749877812,0.8697051309588474,0.8467934305659007,0.6290598027355288
roc_auc_std,0.01196804631391817,0.027008600546310952,0.0,0.014523037208594264,0.008093391154071827,0.010746324769009677,0.0070391020683924985,0.017404549965311013,0.015463905437545037,0.008277934009322675,0.008561445691839016,0.020850939832721484
time,468.741,8.722,2.298,4.565,4.194,3.765,3.766,2.859,2.9,2.97,3.06,58.372
