,SelectNoSentences,linearsvc__c=0.1,linearsvc__c=0.1__class_weight=100x,linearsvc__c=0.1__class_weight=balanced,linearsvc__c=1,linearsvc__c=10,linearsvc__c=10__class_weight=100x,linearsvc__c=10__class_weight=balanced,linearsvc__c=1__class_weight=100x,linearsvc__c=1__class_weight=balanced,logistic__c=0.1,logistic__c=0.1__class_weight=100x,logistic__c=0.1__class_weight=balanced,logistic__c=1,logistic__c=10,logistic__c=10__class_weight=100x,logistic__c=10__class_weight=balanced,logistic__c=1__class_weight=100x,logistic__c=1__class_weight=balanced,tree
accuracy,0.8520380198784135,0.867481975710288,0.8103614507657738,0.8404157648777932,0.8460596076701451,0.8327760852483422,0.7901013220110007,0.8174996209040405,0.797904771094967,0.83792420837871,0.8722964943962724,0.6428148219627522,0.8269666809114845,0.8689761652031265,0.8585142195448092,0.7831277484457065,0.8384232365145229,0.7705082642919175,0.8429073213768765,0.7824612288223212
recall,0.0,0.36674612886239893,0.5093577427673173,0.48945049635610377,0.4158244292440343,0.4194071556593758,0.41910862933461246,0.408277764236568,0.43157400233407356,0.43139097979563035,0.24623205642940582,0.8081119993831191,0.5896288649680683,0.35122319654604583,0.3878957568956561,0.5334586388367785,0.47236289579271873,0.6218266801646154,0.5185111576634427,0.40867545340819467
roc_auc,0.5,0.796209388128118,0.7418222133905348,0.7865763668826113,0.7560740890094946,0.733561697933611,0.6793288709247595,0.7156701579391266,0.6928752433686406,0.7460469975714382,0.8194415970733433,0.8003747416241154,0.815843338760099,0.8031630430844461,0.7773609156815661,0.7276414413632609,0.7668005334818645,0.7647783578706691,0.7959079880644044,0.6278117059279948
time,7.548,10.642,12.043,12.454,10.913,12.288,12.535,12.425,11.707,11.906,9.916,10.871,9.919,10.475,11.12,10.909,11.023,11.145,10.771,44.845
