,C_val,accuracy,accuracy_std,algo_name,feature_selector,max_features,name,roc_auc,roc_auc_std,time,weights
0,0.1,0.8507092540770047,0.012196279285188611,logistic,f_classif,50,logistic__c=0.1,0.7239695555826303,0.016807790297845994,0.135,default
1,0.1,0.8624995519775023,0.011683690858146889,linearsvc,f_classif,50,linearsvc__c=0.1,0.788610776795804,0.021291617507647534,1.752,default
2,1.0,0.862831364331895,0.012767396585487178,logistic,f_classif,50,logistic__c=1,0.7796126633543745,0.019830634688647177,0.158,default
3,1.0,0.870968831419473,0.0113656355166263,linearsvc,f_classif,50,linearsvc__c=1,0.7974996475018393,0.01885799962653644,2.035,default
4,10.0,0.8734588715347182,0.013853913392046203,logistic,f_classif,50,logistic__c=10,0.7945994811976677,0.017173475395163944,0.185,default
5,10.0,0.8746222136446974,0.012039853000056555,linearsvc,f_classif,50,linearsvc__c=10,0.7982221477058701,0.01908011469574572,1.894,default
6,100.0,0.8756182021201802,0.01246366313819382,logistic,f_classif,50,logistic__c=100,0.795995766227189,0.016738084864550622,0.279,default
7,100.0,0.873957761817455,0.01302576444812819,linearsvc,f_classif,50,linearsvc__c=100,0.7792494197310023,0.027903853739347968,2.041,default
8,0.1,0.8520380198784135,0.01177833474345246,SelectNoSentences,f_classif,50,SelectNoSentences,0.5,0.0,0.055,default
9,0.1,0.8118534346093934,0.009847565951958218,tree,f_classif,50,tree,0.6218734577191696,0.017732643969601475,0.418,default
10,0.1,0.8653258157455783,0.01004448044112478,GaussianNb,f_classif,50,GaussianNb,0.7857220799306142,0.013759083609440611,0.181,default
11,0.1,0.8442338815290663,0.012701603648933111,3nn,f_classif,50,3nn,0.6331034686059581,0.018254471353942692,3.705,default
0,0.1,0.8508753670338154,0.011992610156556208,logistic,f_classif,100,logistic__c=0.1,0.727317350014028,0.016600542983589508,0.207,default
1,0.1,0.8628315021849712,0.012236476801614011,linearsvc,f_classif,100,linearsvc__c=0.1,0.79944889795368,0.020484613016007736,2.1,default
2,1.0,0.8636616534097958,0.012799348983815375,logistic,f_classif,100,logistic__c=1,0.7894710455625578,0.019908988074858993,0.211,default
3,1.0,0.8756183399732566,0.011780050135600613,linearsvc,f_classif,100,linearsvc__c=1,0.8165907268359369,0.01589309750443445,1.722,default
4,10.0,0.8757836258116098,0.013943841543292366,logistic,f_classif,100,logistic__c=10,0.8123613584561026,0.015042046589757134,0.288,default
5,10.0,0.8796039481121021,0.011981207971834242,linearsvc,f_classif,100,linearsvc__c=10,0.820062740834649,0.014960907059872372,1.714,default
6,100.0,0.8799361740257234,0.01150555298493469,logistic,f_classif,100,logistic__c=100,0.8182536050451474,0.013981953006073659,0.334,default
7,100.0,0.8767805792586261,0.014262374673666532,linearsvc,f_classif,100,linearsvc__c=100,0.8124197486754419,0.015605594100109602,1.821,default
8,0.1,0.8520380198784135,0.01177833474345246,SelectNoSentences,f_classif,100,SelectNoSentences,0.5,0.0,0.082,default
9,0.1,0.8121867633476241,0.010991822366892957,tree,f_classif,100,tree,0.6262951748645453,0.015200252664097098,0.717,default
10,0.1,0.8749549909706236,0.01130903359218686,GaussianNb,f_classif,100,GaussianNb,0.8102679060058131,0.012369130565919907,0.309,default
11,0.1,0.8497135413076743,0.010970300976818316,3nn,f_classif,100,3nn,0.6107148497912025,0.010147062962906008,7.463,default
0,0.1,0.8512074550943604,0.012013411903488138,logistic,f_classif,500,logistic__c=0.1,0.742887303850205,0.01755722749094293,0.53,default
1,0.1,0.8639936036172646,0.012757478880033464,linearsvc,f_classif,500,linearsvc__c=0.1,0.8428517565055517,0.01954868729194609,2.025,default
2,1.0,0.8664848844101956,0.011890975060173843,logistic,f_classif,500,logistic__c=1,0.8313229570061186,0.01970131821643816,0.567,default
