,C_val,accuracy,accuracy_std,algo_name,feature_selector,max_features,name,roc_auc,roc_auc_std,time,weights
3,1.0,0.8847519333893935,0.011511855866038988,linearsvc,f_classif,500,linearsvc__c=1,0.8684143871456284,0.014146636804822837,1.799,default
4,10.0,0.8857479218648765,0.012225774753954909,logistic,f_classif,500,logistic__c=10,0.8655992814736864,0.013839776890095034,0.576,default
5,10.0,0.8892354668394425,0.01246781289831018,linearsvc,f_classif,500,linearsvc__c=10,0.865149849845762,0.014980890932274584,1.82,default
6,100.0,0.8905636812285467,0.011270658996271611,logistic,f_classif,500,logistic__c=100,0.8665867629428012,0.014247683538760757,0.693,default
7,100.0,0.8877411394935277,0.012782589170308698,linearsvc,f_classif,500,linearsvc__c=100,0.8471372295473781,0.01838819272230522,2.075,default
8,0.1,0.8520380198784135,0.01177833474345246,SelectNoSentences,f_classif,500,SelectNoSentences,0.5,0.0,0.261,default
9,0.1,0.8337713844584442,0.01728942161313316,tree,f_classif,500,tree,0.6440416972050695,0.0209073615399561,7.036,default
10,0.1,0.8910639500420452,0.01105325689854722,GaussianNb,f_classif,500,GaussianNb,0.7297977815468444,0.024710122726652906,1.549,default
11,0.1,0.852536083042693,0.012475513542010864,3nn,f_classif,500,3nn,0.5582335015819547,0.016815185593845875,63.151,default
0,0.1,0.8512074550943604,0.012013411903488138,logistic,f_classif,1000,logistic__c=0.1,0.7428736320116202,0.017558859092426004,1.074,default
1,0.1,0.8639937414703409,0.012394247893275694,linearsvc,f_classif,1000,linearsvc__c=0.1,0.8427580382091362,0.01954440506502138,2.46,default
2,1.0,0.86665085951393,0.012100933352715853,logistic,f_classif,1000,logistic__c=1,0.8312497750693708,0.01979764873144367,0.992,default
3,1.0,0.8835892805447954,0.012335815809642015,linearsvc,f_classif,1000,linearsvc__c=1,0.8675883450611132,0.014437334113100362,2.371,default
4,10.0,0.8859138969686109,0.012237716328416704,logistic,f_classif,1000,logistic__c=10,0.8647710116982742,0.014324212570552141,0.939,default
5,10.0,0.8869098854440937,0.015491034285124385,linearsvc,f_classif,1000,linearsvc__c=10,0.8605085760479254,0.016588563043280016,2.273,default
6,100.0,0.8890692160295556,0.013085464029910756,logistic,f_classif,1000,logistic__c=100,0.8631651428815805,0.015705661624908166,1.036,default
7,100.0,0.8845848554610496,0.015148245344230276,linearsvc,f_classif,1000,linearsvc__c=100,0.8268223673892775,0.0183586225504667,2.529,default
8,0.1,0.8520380198784135,0.01177833474345246,SelectNoSentences,f_classif,1000,SelectNoSentences,0.5,0.0,0.592,default
9,0.1,0.8359282336885349,0.019559070306497298,tree,f_classif,1000,tree,0.6330291419783451,0.022004480414463148,12.449,default
10,0.1,0.8855829117326752,0.011361058823666977,GaussianNb,f_classif,1000,GaussianNb,0.6656691313336933,0.022003051638060694,3.11,default
11,0.1,0.8518720447746793,0.011803361590535652,3nn,f_classif,1000,3nn,0.5428803953557092,0.013599235471442418,117.899,default
0,0.1,0.8513735680511709,0.01191592932513297,logistic,f_classif,2000,logistic__c=0.1,0.7535276251218791,0.017943642088527022,2.551,default
1,0.1,0.8649900056519761,0.012551691215001704,linearsvc,f_classif,2000,linearsvc__c=0.1,0.8590137072373821,0.01729463836261858,4.323,default
2,1.0,0.8668175238830456,0.010349871569154649,logistic,f_classif,2000,logistic__c=1,0.8493042747006132,0.018064982252399536,1.845,default
3,1.0,0.8820946774927283,0.012342888410345417,linearsvc,f_classif,2000,linearsvc__c=1,0.8707502081124037,0.013647230734780613,3.063,default
4,10.0,0.8849187356115852,0.009571221630632992,logistic,f_classif,2000,logistic__c=10,0.8733693095470138,0.01323441790585016,1.892,default
5,10.0,0.880766463103624,0.01386229967517104,linearsvc,f_classif,2000,linearsvc__c=10,0.8420592758735642,0.01814963704607237,2.719,default
6,100.0,0.8812650776802083,0.013334507367052268,logistic,f_classif,2000,logistic__c=100,0.8525078338748855,0.01451229436723952,1.97,default
7,100.0,0.8654898609062462,0.00977016939033532,linearsvc,f_classif,2000,linearsvc__c=100,0.792709270341448,0.017136308328110104,2.764,default
8,0.1,0.8520380198784135,0.01177833474345246,SelectNoSentences,f_classif,2000,SelectNoSentences,0.5,0.0,1.423,default
9,0.1,0.8369253249886273,0.017019637967580797,tree,f_classif,2000,tree,0.6332851271084247,0.02317536571388569,30.059,default
10,0.1,0.8601759005252202,0.009978108445049266,GaussianNb,f_classif,2000,GaussianNb,0.6313651693356533,0.024051452089142947,5.67,default
11,0.1,0.8513739816103996,0.011712832656934865,3nn,f_classif,2000,3nn,0.5273005807047532,0.007488799851259642,260.331,default
0,0.1,0.8512074550943604,0.012116331204647054,logistic,f_classif,3000,logistic__c=0.1,0.7572345237113649,0.017404549965311013,2.859,default
1,0.1,0.8658207082891055,0.011455818518123214,linearsvc,f_classif,3000,linearsvc__c=0.1,0.8612314969376765,0.014523037208594264,4.565,default
2,1.0,0.8658211218483342,0.010509539657486196,logistic,f_classif,3000,logistic__c=1,0.851892749877812,0.015463905437545037,2.9,default
3,1.0,0.8824271791125019,0.011185307232084557,linearsvc,f_classif,3000,linearsvc__c=1,0.8658385734451711,0.008093391154071827,4.194,default
4,10.0,0.88192884024207,0.011331872051804564,logistic,f_classif,3000,logistic__c=10,0.8697051309588474,0.008277934009322675,2.97,default
5,10.0,0.8711361850539696,0.008237950956989237,linearsvc,f_classif,3000,linearsvc__c=10,0.8319289926733108,0.010746324769009677,3.765,default
6,100.0,0.8789405991094691,0.008867235416337637,logistic,f_classif,3000,logistic__c=100,0.8467934305659007,0.008561445691839016,3.06,default
7,100.0,0.8555270812368179,0.007346711356190661,linearsvc,f_classif,3000,linearsvc__c=100,0.7908104421793902,0.0070391020683924985,3.766,default
8,0.1,0.8520380198784135,0.01177833474345246,SelectNoSentences,f_classif,3000,SelectNoSentences,0.5,0.0,2.298,default
9,0.1,0.8321103927434141,0.013729102156271813,tree,f_classif,3000,tree,0.6290598027355288,0.020850939832721484,58.372,default
10,0.1,0.8400824361395625,0.013503155569150724,GaussianNb,f_classif,3000,GaussianNb,0.6166290474999332,0.027008600546310952,8.722,default
11,0.1,0.851041479990626,0.012026454977730833,3nn,f_classif,3000,3nn,0.536987177562749,0.01196804631391817,468.741,default
0,0.1,0.8512074550943604,0.012116331204647054,logistic,f_classif,4000,logistic__c=0.1,0.7571135154027434,0.0173327663071765,3.839,default
1,0.1,0.8654886202285603,0.011460465789225304,linearsvc,f_classif,4000,linearsvc__c=0.1,0.8590656985834982,0.015732545697387416,5.657,default
2,1.0,0.866485160116348,0.010945880170278748,logistic,f_classif,4000,logistic__c=1,0.8498670285199014,0.01599797386507577,3.846,default
3,1.0,0.8837559449139107,0.010167042952409102,linearsvc,f_classif,4000,linearsvc__c=1,0.8626811448560181,0.011246183637274183,5.26,default
4,10.0,0.8825942570408458,0.008722653713001821,logistic,f_classif,4000,logistic__c=10,0.8655464763936065,0.011095523313403502,3.908,default
5,10.0,0.8714678595552859,0.009429999096798458,linearsvc,f_classif,4000,linearsvc__c=10,0.8293163171737957,0.01400816964332955,4.799,default
6,100.0,0.8771139079968571,0.009168397891420018,logistic,f_classif,4000,logistic__c=100,0.8451949183626078,0.012566163785035908,4.063,default
7,100.0,0.8551949931762728,0.010386839791606694,linearsvc,f_classif,4000,linearsvc__c=100,0.7976820395109263,0.014496918596905235,4.797,default
8,0.1,0.8520380198784135,0.01177833474345246,SelectNoSentences,f_classif,4000,SelectNoSentences,0.5,0.0,3.095,default
9,0.1,0.8229801078011055,0.01051957434105959,tree,f_classif,4000,tree,0.6201774002214847,0.017723301600039244,86.679,default
10,0.1,0.762528776829655,0.0420096742556475,GaussianNb,f_classif,4000,GaussianNb,0.653120864321252,0.02960104337115882,11.565,default
11,0.1,0.8522041328352241,0.011560152421377324,3nn,f_classif,4000,3nn,0.5399224248673259,0.011036296069440411,695.444,default
