,3nn,GaussianNb,SelectNoSentences,linearsvc__c=0.1,linearsvc__c=1,linearsvc__c=10,linearsvc__c=100,logistic__c=0.1,logistic__c=1,logistic__c=10,logistic__c=100,tree
accuracy,0.852536083042693,0.8910639500420452,0.8520380198784135,0.8639936036172646,0.8847519333893935,0.8892354668394425,0.8877411394935277,0.8512074550943604,0.8664848844101956,0.8857479218648765,0.8905636812285467,0.8337713844584442
accuracy_std,0.012475513542010864,0.01105325689854722,0.01177833474345246,0.012757478880033464,0.011511855866038988,0.01246781289831018,0.012782589170308698,0.012013411903488138,0.011890975060173843,0.012225774753954909,0.011270658996271611,0.01728942161313316
roc_auc,0.5582335015819547,0.7297977815468444,0.5,0.8428517565055517,0.8684143871456284,0.865149849845762,0.8471372295473781,0.742887303850205,0.8313229570061186,0.8655992814736864,0.8665867629428012,0.6440416972050695
roc_auc_std,0.016815185593845875,0.024710122726652906,0.0,0.01954868729194609,0.014146636804822837,0.014980890932274584,0.01838819272230522,0.01755722749094293,0.01970131821643816,0.013839776890095034,0.014247683538760757,0.0209073615399561
time,63.151,1.549,0.261,2.025,1.799,1.82,2.075,0.53,0.567,0.576,0.693,7.036
