,SelectNoSentences,linearsvc__c=0.1,linearsvc__c=1,linearsvc__c=10,linearsvc__c=100,logistic__c=0.1,logistic__c=1,logistic__c=10,logistic__c=100
accuracy,0.8759524180971697,0.8893674280586399,0.8944188145402607,0.8962958035722618,0.892569354558818,0.8785195115860311,0.8908856098612367,0.8953848762040387,0.8972894933393679
accuracy_std,0.0027762397290991923,0.0025627824839095825,0.0032216960271243154,0.0028274676030040553,0.0027543187665362468,0.002997259525773031,0.0028183117764187687,0.0033799480846022603,0.002855973778166201
roc_auc,0.5,0.845385581556519,0.8538183360345044,0.8538843380772135,0.8466945779025412,0.7993171219673882,0.8415044476337776,0.8536934423921784,0.8550796146502215
roc_auc_std,0.0,0.004312649338173657,0.005400271584941043,0.005538393376171391,0.008548978743484417,0.006250323148775676,0.004990861174897871,0.005392906500626203,0.005585189299171817
time,1.45,20.346,18.744,19.141,23.968,4.559,3.346,3.861,4.396
