,C_val,accuracy,accuracy_std,algo_name,feature_selector,max_features,name,roc_auc,roc_auc_std,time,weights
0,0.1,0.878685112578235,0.002812522379251425,logistic,f_classif,1000,logistic__c=0.1,0.8079757945385502,0.005995319843786733,5.106,default
1,0.1,0.8903611292549117,0.0023923844010100286,linearsvc,f_classif,1000,linearsvc__c=0.1,0.857557268659718,0.004039016038446548,20.504,default
2,1.0,0.8921829306552512,0.0024438602325625135,logistic,f_classif,1000,logistic__c=1,0.8536354356294193,0.004707769311255513,5.293,default
3,1.0,0.897537932924893,0.0024602771700506145,linearsvc,f_classif,1000,linearsvc__c=1,0.8679637952159565,0.004252910793229178,20.019,default
4,10.0,0.8981451416426035,0.0023957585515847427,logistic,f_classif,1000,logistic__c=10,0.8683169495864309,0.00456578188716182,5.836,default
5,10.0,0.8978967058668003,0.0014632502380174136,linearsvc,f_classif,1000,linearsvc__c=10,0.8664473763289099,0.004071209438664053,21.961,default
6,100.0,0.8986696108197625,0.0017618843207027298,logistic,f_classif,1000,logistic__c=100,0.8681955296760406,0.0038054800080781536,7.108,default
7,100.0,0.8967097641458309,0.0014930468464530691,linearsvc,f_classif,1000,linearsvc__c=100,0.862170972548563,0.004452396608973686,25.415,default
8,0.1,0.8759524180971697,0.0027762397290991923,SelectNoSentences,f_classif,1000,SelectNoSentences,0.5,0.0,2.665,default
0,0.1,0.8788783226251574,0.002761864708935905,logistic,f_classif,2000,logistic__c=0.1,0.8144257766311078,0.005905677691105854,14.828,default
1,0.1,0.8907199631523696,0.002724354258898842,linearsvc,f_classif,2000,linearsvc__c=0.1,0.8676276860327914,0.004585477445034573,32.239,default
2,1.0,0.8925693469393743,0.0031202357659236564,logistic,f_classif,2000,logistic__c=1,0.8639131950335633,0.004936467199646959,14.978,default
3,1.0,0.8983107959709142,0.0023726294469873887,linearsvc,f_classif,2000,linearsvc__c=1,0.8763632726665739,0.005033892709550629,27.796,default
4,10.0,0.8983935545600753,0.0016027148514888038,logistic,f_classif,2000,logistic__c=10,0.8781652909446882,0.005086049543095588,15.972,default
5,10.0,0.8954675662182053,0.0018378834307651683,linearsvc,f_classif,2000,linearsvc__c=10,0.8682829286963833,0.006660486645847685,29.914,default
6,100.0,0.8952743256935076,0.0016439391866553408,logistic,f_classif,2000,logistic__c=100,0.8718448739600966,0.0056879838257843365,17.578,default
7,100.0,0.891796525800294,0.003040574082490853,linearsvc,f_classif,2000,linearsvc__c=100,0.8543997707117029,0.007393918352795761,35.217,default
8,0.1,0.8759524180971697,0.0027762397290991923,SelectNoSentences,f_classif,2000,SelectNoSentences,0.5,0.0,12.284,default
0,0.1,0.8790715479109675,0.002704254210390792,logistic,f_classif,3000,logistic__c=0.1,0.8165683641825044,0.0063617341452822055,24.166,default
1,0.1,0.8908579703287428,0.0028663491272176165,linearsvc,f_classif,3000,linearsvc__c=0.1,0.8703071899361946,0.004822660994868977,45.953,default
2,1.0,0.8923209035441271,0.0030601162150100327,logistic,f_classif,3000,logistic__c=1,0.8670620472462044,0.005305793457919754,23.451,default
3,1.0,0.8979795254115117,0.001242835331592848,linearsvc,f_classif,3000,linearsvc__c=1,0.874940611763602,0.005116467722786643,39.65,default
4,10.0,0.897261857616596,0.0014174148808421632,logistic,f_classif,3000,logistic__c=10,0.8782952931670618,0.0048645856481860286,25.304,default
5,10.0,0.8919896025069495,0.001994460412147143,linearsvc,f_classif,3000,linearsvc__c=10,0.859959989131941,0.005327025402707597,35.767,default
6,100.0,0.8921828582705347,0.0016327685855182308,logistic,f_classif,3000,logistic__c=100,0.8650757001776915,0.00450436439113741,26.394,default
7,100.0,0.8861101615379239,0.0036962177841493573,linearsvc,f_classif,3000,linearsvc__c=100,0.8441844041908395,0.0059472392715565455,46.318,default
8,0.1,0.8759524180971697,0.0027762397290991923,SelectNoSentences,f_classif,3000,SelectNoSentences,0.5,0.0,20.521,default
0,0.1,0.8789611307407033,0.002482095576125738,logistic,f_classif,4000,logistic__c=0.1,0.8176180756942271,0.006032357224030548,36.884,default
1,0.1,0.8910235865598345,0.002729224347632316,linearsvc,f_classif,4000,linearsvc__c=0.1,0.8709084010960106,0.004340092517403421,58.352,default
2,1.0,0.8925141516882688,0.0030076778286493677,logistic,f_classif,4000,logistic__c=1,0.8680848087596112,0.004728468641757857,37.498,default
3,1.0,0.8969581884924682,0.0015752114585381933,linearsvc,f_classif,4000,linearsvc__c=1,0.8722285445766094,0.0042806712656923655,52.545,default
4,10.0,0.8960196939764676,0.001648047761556633,logistic,f_classif,4000,logistic__c=10,0.8762649896504462,0.0040599642743749,36.796,default
5,10.0,0.88776632384884,0.0013598544255557323,linearsvc,f_classif,4000,linearsvc__c=10,0.8522080747707321,0.004373666323080467,49.332,default
6,100.0,0.8887600136159461,0.0018858168912405566,logistic,f_classif,4000,logistic__c=100,0.85859600234152,0.003992490853026469,44.294,default
7,100.0,0.8754279184422351,0.0038130112801888793,linearsvc,f_classif,4000,linearsvc__c=100,0.8323980051251324,0.0052450243628913654,51.351,default
8,0.1,0.8759524180971697,0.0027762397290991923,SelectNoSentences,f_classif,4000,SelectNoSentences,0.5,0.0,31.038,default
