,C_val,accuracy,accuracy_std,algo_name,feature_selector,max_features,name,roc_auc,roc_auc_std,time,weights
0,0.1,0.8771117469536988,0.0028574867709123737,logistic,f_classif,50,logistic__c=0.1,0.7696943792656032,0.007222951982560155,0.907,default
1,0.1,0.8871867699025111,0.002317122338648939,linearsvc,f_classif,50,linearsvc__c=0.1,0.7922165926812431,0.005993670072335883,12.692,default
2,1.0,0.8873799913785995,0.002535963387779674,logistic,f_classif,50,logistic__c=1,0.7914406340517278,0.006568826779143545,0.735,default
3,1.0,0.8881528582343424,0.0021330117059081078,linearsvc,f_classif,50,linearsvc__c=1,0.7931395982595383,0.005377804639529183,12.426,default
4,10.0,0.8884841326034667,0.0024849782963793,logistic,f_classif,50,logistic__c=10,0.7938382166520619,0.006066816950114411,0.853,default
5,10.0,0.8878216295818812,0.00215538707771712,linearsvc,f_classif,50,linearsvc__c=10,0.7940586203969384,0.005481460145636967,12.99,default
6,100.0,0.8887877522012098,0.0024303757108990686,logistic,f_classif,50,logistic__c=100,0.7940294701250471,0.005974031131451805,0.99,default
7,100.0,0.8857238938329555,0.0027968456606562355,linearsvc,f_classif,50,linearsvc__c=100,0.7845912739712034,0.011036570145717859,13.752,default
8,0.1,0.8759524180971697,0.0027762397290991923,SelectNoSentences,f_classif,50,SelectNoSentences,0.5,0.0,0.172,default
0,0.1,0.8781606929274608,0.003195786805657687,logistic,f_classif,100,logistic__c=0.1,0.7814827570700673,0.005863513959355953,1.078,default
1,0.1,0.8881804939571143,0.0029536164450456857,linearsvc,f_classif,100,linearsvc__c=0.1,0.8104270168763404,0.004408249563598426,15.238,default
2,1.0,0.8888981960395274,0.003626266204555527,logistic,f_classif,100,logistic__c=1,0.8094809841568722,0.005058230728111368,1.469,default
3,1.0,0.8895882700186124,0.0027931234956600965,linearsvc,f_classif,100,linearsvc__c=1,0.8116304032894421,0.00399358385240361,15.27,default
4,10.0,0.890885594622349,0.002573145342271655,logistic,f_classif,100,logistic__c=10,0.8124077191875771,0.00461202185438719,1.5,default
5,10.0,0.8901127506249372,0.003027108200608324,linearsvc,f_classif,100,linearsvc__c=10,0.8119458257808365,0.004177063649698732,16.145,default
6,100.0,0.8910788160984373,0.0025817001217349183,logistic,f_classif,100,logistic__c=100,0.8125385327112988,0.004553678052906817,1.776,default
7,100.0,0.8857516705154381,0.0061954889637198555,linearsvc,f_classif,100,linearsvc__c=100,0.7987991443288085,0.0057538936801102974,17.39,default
8,0.1,0.8759524180971697,0.0027762397290991923,SelectNoSentences,f_classif,100,SelectNoSentences,0.5,0.0,0.297,default
0,0.1,0.8785195115860311,0.002997259525773031,logistic,f_classif,500,logistic__c=0.1,0.7993171219673882,0.006250323148775676,4.559,default
1,0.1,0.8893674280586399,0.0025627824839095825,linearsvc,f_classif,500,linearsvc__c=0.1,0.845385581556519,0.004312649338173657,20.346,default
2,1.0,0.8908856098612367,0.0028183117764187687,logistic,f_classif,500,logistic__c=1,0.8415044476337776,0.004990861174897871,3.346,default
3,1.0,0.8944188145402607,0.0032216960271243154,linearsvc,f_classif,500,linearsvc__c=1,0.8538183360345044,0.005400271584941043,18.744,default
4,10.0,0.8953848762040387,0.0033799480846022603,logistic,f_classif,500,logistic__c=10,0.8536934423921784,0.005392906500626203,3.861,default
5,10.0,0.8962958035722618,0.0028274676030040553,linearsvc,f_classif,500,linearsvc__c=10,0.8538843380772135,0.005538393376171391,19.141,default
6,100.0,0.8972894933393679,0.002855973778166201,logistic,f_classif,500,logistic__c=100,0.8550796146502215,0.005585189299171817,4.396,default
7,100.0,0.892569354558818,0.0027543187665362468,linearsvc,f_classif,500,linearsvc__c=100,0.8466945779025412,0.008548978743484417,23.968,default
8,0.1,0.8759524180971697,0.0027762397290991923,SelectNoSentences,f_classif,500,SelectNoSentences,0.5,0.0,1.45,default
