,SelectNoSentences,linearsvc__c=0.1,linearsvc__c=1,linearsvc__c=10,linearsvc__c=100,logistic__c=0.1,logistic__c=1,logistic__c=10,logistic__c=100
accuracy,0.8759524180971697,0.8908579703287428,0.8979795254115117,0.8919896025069495,0.8861101615379239,0.8790715479109675,0.8923209035441271,0.897261857616596,0.8921828582705347
accuracy_std,0.0027762397290991923,0.0028663491272176165,0.001242835331592848,0.001994460412147143,0.0036962177841493573,0.002704254210390792,0.0030601162150100327,0.0014174148808421632,0.0016327685855182308
roc_auc,0.5,0.8703071899361946,0.874940611763602,0.859959989131941,0.8441844041908395,0.8165683641825044,0.8670620472462044,0.8782952931670618,0.8650757001776915
roc_auc_std,0.0,0.004822660994868977,0.005116467722786643,0.005327025402707597,0.0059472392715565455,0.0063617341452822055,0.005305793457919754,0.0048645856481860286,0.00450436439113741
time,20.521,45.953,39.65,35.767,46.318,24.166,23.451,25.304,26.394
