,SelectNoSentences,linearsvc__c=0.1,linearsvc__c=1,linearsvc__c=10,linearsvc__c=100,logistic__c=0.1,logistic__c=1,logistic__c=10,logistic__c=100
accuracy,0.8759524180971697,0.8871867699025111,0.8881528582343424,0.8878216295818812,0.8857238938329555,0.8771117469536988,0.8873799913785995,0.8884841326034667,0.8887877522012098
accuracy_std,0.0027762397290991923,0.002317122338648939,0.0021330117059081078,0.00215538707771712,0.0027968456606562355,0.0028574867709123737,0.002535963387779674,0.0024849782963793,0.0024303757108990686
roc_auc,0.5,0.7922165926812431,0.7931395982595383,0.7940586203969384,0.7845912739712034,0.7696943792656032,0.7914406340517278,0.7938382166520619,0.7940294701250471
roc_auc_std,0.0,0.005993670072335883,0.005377804639529183,0.005481460145636967,0.011036570145717859,0.007222951982560155,0.006568826779143545,0.006066816950114411,0.005974031131451805
time,0.172,12.692,12.426,12.99,13.752,0.907,0.735,0.853,0.99
