,SelectNoSentences,linearsvc__c=0.1,linearsvc__c=1,linearsvc__c=10,linearsvc__c=100,logistic__c=0.1,logistic__c=1,logistic__c=10,logistic__c=100
accuracy,0.8759524180971697,0.8910235865598345,0.8969581884924682,0.88776632384884,0.8754279184422351,0.8789611307407033,0.8925141516882688,0.8960196939764676,0.8887600136159461
accuracy_std,0.0027762397290991923,0.002729224347632316,0.0015752114585381933,0.0013598544255557323,0.0038130112801888793,0.002482095576125738,0.0030076778286493677,0.001648047761556633,0.0018858168912405566
roc_auc,0.5,0.8709084010960106,0.8722285445766094,0.8522080747707321,0.8323980051251324,0.8176180756942271,0.8680848087596112,0.8762649896504462,0.85859600234152
roc_auc_std,0.0,0.004340092517403421,0.0042806712656923655,0.004373666323080467,0.0052450243628913654,0.006032357224030548,0.004728468641757857,0.0040599642743749,0.003992490853026469
time,31.038,58.352,52.545,49.332,51.351,36.884,37.498,36.796,44.294
