,SelectNoSentences,linearsvc__c=0.1,linearsvc__c=1,linearsvc__c=10,linearsvc__c=100,logistic__c=0.1,logistic__c=1,logistic__c=10,logistic__c=100
accuracy,0.8759524180971697,0.8881804939571143,0.8895882700186124,0.8901127506249372,0.8857516705154381,0.8781606929274608,0.8888981960395274,0.890885594622349,0.8910788160984373
accuracy_std,0.0027762397290991923,0.0029536164450456857,0.0027931234956600965,0.003027108200608324,0.0061954889637198555,0.003195786805657687,0.003626266204555527,0.002573145342271655,0.0025817001217349183
roc_auc,0.5,0.8104270168763404,0.8116304032894421,0.8119458257808365,0.7987991443288085,0.7814827570700673,0.8094809841568722,0.8124077191875771,0.8125385327112988
roc_auc_std,0.0,0.004408249563598426,0.00399358385240361,0.004177063649698732,0.0057538936801102974,0.005863513959355953,0.005058230728111368,0.00461202185438719,0.004553678052906817
time,0.297,15.238,15.27,16.145,17.39,1.078,1.469,1.5,1.776
