,SelectNoSentences,linearsvc__c=0.1,linearsvc__c=0.1__class_weight=100x,linearsvc__c=0.1__class_weight=balanced,linearsvc__c=1,linearsvc__c=10,linearsvc__c=10__class_weight=100x,linearsvc__c=10__class_weight=balanced,linearsvc__c=1__class_weight=100x,linearsvc__c=1__class_weight=balanced,logistic__c=0.1,logistic__c=0.1__class_weight=100x,logistic__c=0.1__class_weight=balanced,logistic__c=1,logistic__c=10,logistic__c=10__class_weight=100x,logistic__c=10__class_weight=balanced,logistic__c=1__class_weight=100x,logistic__c=1__class_weight=balanced,tree
accuracy,0.8759524180971697,0.8880423382015865,0.7874847244437662,0.837114779492343,0.8610466449017252,0.837639347722272,0.8191179731822246,0.8274814404634755,0.8179584766979312,0.8354863519569685,0.893701009595356,0.6364413578077489,0.8307660341194885,0.8872970423033426,0.8670365220896249,0.8042949471467754,0.8387158760826992,0.7671412208672946,0.8410895804677081,0.8461135750487596
recall,0.0,0.3632047774333124,0.6389438021040064,0.5929331374551013,0.42272627590627926,0.4410908408679555,0.45474780617012345,0.4581474012730783,0.5061902223882501,0.5022099761220652,0.27060036531399223,0.878597824560234,0.6788756915628229,0.36524559215924907,0.4142387008889637,0.5663495847744656,0.5173378001607457,0.7018037635944582,0.6000462986210098,0.29621108717283073
roc_auc,0.5,0.8275875535638179,0.7923186123553132,0.8223623495790043,0.783831630092062,0.7506511249013708,0.7315525828227394,0.744056526759497,0.7542984349395129,0.7762294045058434,0.8523514622513059,0.8422005347563157,0.8527348799630362,0.8360181987215037,0.7965924418568313,0.7704261868788927,0.789199381505673,0.8107190640764641,0.8290285964517512,0.6100865242635396
time,103.916,124.217,134.376,132.816,129.423,126.61,132.578,131.737,133.19,135.861,127.908,127.483,124.249,130.43,142.678,154.522,139.031,136.345,125.655,2075.63
