,SelectNoSentences,linearsvc__c=0.1,linearsvc__c=1,linearsvc__c=10,linearsvc__c=100,logistic__c=0.1,logistic__c=1,logistic__c=10,logistic__c=100
accuracy,0.8759524180971697,0.8903611292549117,0.897537932924893,0.8978967058668003,0.8967097641458309,0.878685112578235,0.8921829306552512,0.8981451416426035,0.8986696108197625
accuracy_std,0.0027762397290991923,0.0023923844010100286,0.0024602771700506145,0.0014632502380174136,0.0014930468464530691,0.002812522379251425,0.0024438602325625135,0.0023957585515847427,0.0017618843207027298
roc_auc,0.5,0.857557268659718,0.8679637952159565,0.8664473763289099,0.862170972548563,0.8079757945385502,0.8536354356294193,0.8683169495864309,0.8681955296760406
roc_auc_std,0.0,0.004039016038446548,0.004252910793229178,0.004071209438664053,0.004452396608973686,0.005995319843786733,0.004707769311255513,0.00456578188716182,0.0038054800080781536
time,2.665,20.504,20.019,21.961,25.415,5.106,5.293,5.836,7.108
