,SelectNoSentences,linearsvc__c=0.1,linearsvc__c=1,linearsvc__c=10,linearsvc__c=100,logistic__c=0.1,logistic__c=1,logistic__c=10,logistic__c=100
accuracy,0.8759524180971697,0.8907199631523696,0.8983107959709142,0.8954675662182053,0.891796525800294,0.8788783226251574,0.8925693469393743,0.8983935545600753,0.8952743256935076
accuracy_std,0.0027762397290991923,0.002724354258898842,0.0023726294469873887,0.0018378834307651683,0.003040574082490853,0.002761864708935905,0.0031202357659236564,0.0016027148514888038,0.0016439391866553408
roc_auc,0.5,0.8676276860327914,0.8763632726665739,0.8682829286963833,0.8543997707117029,0.8144257766311078,0.8639131950335633,0.8781652909446882,0.8718448739600966
roc_auc_std,0.0,0.004585477445034573,0.005033892709550629,0.006660486645847685,0.007393918352795761,0.005905677691105854,0.004936467199646959,0.005086049543095588,0.0056879838257843365
time,12.284,32.239,27.796,29.914,35.217,14.828,14.978,15.972,17.578
